Reference, Value, Footprint, Datasheet, DigikeyNumber, Manufacturer, ManufacturerNumber, Quantity
U1,TPS60131,SMD:SSOP_20_4.5mm_6.6mm_0.65mm_PWP,http://www.ti.com/lit/ds/symlink/tps60130.pdf,296-2272-5-ND,Texas Instruments,TPS60131PWP, 1
J1,PMOD_SINGLE,Connectors:PMOD_SINGLE_MALE,,609-3313-ND,FCI,68016-106HLF, 1
R1,10k,SMD:SMD_0805,,P10.0KCCT-ND,Panasonic Electronic Components,ERJ-6ENF1002V, 1
C3,2.2uF,SMD:SMD_0805,,445-1588-1-ND,TDK Corporation,C2012X5R1A225K085AA, 1
C4,2.2uF,SMD:SMD_0805,,445-1588-1-ND,TDK Corporation,C2012X5R1A225K085AA, 1
C6,33uF,SMD:SMD_0805,,445-8238-1-ND,TDK Corporation,C2012X5R1A336M125AC, 1
C1,15uF,SMD:SMD_0805,,445-14362-1-ND,TDK Corporation,C2012X5R1A156M085AC, 1
P1,CONN_01X06,Connectors:DIN_CUI_SDS-50J,,CP-2350-ND,CUI Inc,SDS-50J, 1
R3,220,SMD:SMD_0805,,P220CCT-ND,Panasonic Electronic Components,ERJ-6ENF2200V, 1
R4,220,SMD:SMD_0805,,P220CCT-ND,Panasonic Electronic Components,ERJ-6ENF2200V, 1
R2,330,SMD:SMD_0805,,P330CCT-ND,Panasonic Electronic Components,ERJ-6ENF3300V, 1
D1,RED,LEDs:LED_1206,,754-1137-1-ND,Kingbright,APT3216EC, 1
TP1,TEST_POINT,Connectors:TESTPOINT_063,http://www.keyelco.com/product-pdf.cfm?p=1322,36-5013-ND,Keystone Electronics,5013, 1
TP2,TEST_POINT,Connectors:TESTPOINT_063,http://www.keyelco.com/product-pdf.cfm?p=1322,36-5013-ND,Keystone Electronics,5013, 1
TP3,TEST_POINT,Connectors:TESTPOINT_063,http://www.keyelco.com/product-pdf.cfm?p=1320,36-5011-ND,Keystone Electronics,5011, 1
C2,15uF,SMD:SMD_0805,,445-14362-1-ND,TDK Corporation,C2012X5R1A156M085AC, 1
C5,33uF,SMD:SMD_0805,,445-8238-1-ND,TDK Corporation,C2012X5R1A336M125AC, 1
P2,CONN_01X04,Connectors:CONN_2.54mm_1x4,, 1
AT1,TXB0102,SMD:SSOP_08_3.0mm_2.0mm_0.5mm,,296-22862-1-ND,Texas Instruments,TXB0102, 1
C7,0.1uF,SMD:SMD_0805,,311-1141-1-ND,Yageo,CC0805KRX7R8BB104, 1
C8,0.1uF,SMD:SMD_0805,,311-1141-1-ND,Yageo,CC0805KRX7R8BB104, 1
D2,PLVA653A,Diodes:DIODE_SOT-23-3,,568-6472-1-ND,NXP,PLVA653A, 1
D3,PLVA653A,Diodes:DIODE_SOT-23-3,,568-6472-1-ND,NXP,PLVA653A, 1
