Reference, Value, Footprint, Datasheet, DigikeyNumber, Manufacturer, ManufacturerNumber
U1,TPS60131,SMD:SSOP_20_4.5mm_6.6mm_0.65mm_PWP,http://www.ti.com/lit/ds/symlink/tps60130.pdf,296-2272-5-ND,Texas Instruments,TPS60131PWP
J1,PMOD_SINGLE,Connectors:PMOD_SINGLE_MALE,,609-3313-ND,FCI,68016-106HLF
R1,10k,SMD:SMD_0805,,P10.0KCCT-ND,Panasonic Electronic Components,ERJ-6ENF1002V
C3,2.2uF,SMD:SMD_0805,,445-1588-1-ND,TDK Corporation,C2012X5R1A225K085AA
C4,2.2uF,SMD:SMD_0805,,445-1588-1-ND,TDK Corporation,C2012X5R1A225K085AA
C6,33uF,SMD:SMD_0805,,445-8238-1-ND,TDK Corporation,C2012X5R1A336M125AC
C1,15uF,SMD:SMD_0805,,445-14362-1-ND,TDK Corporation,C2012X5R1A156M085AC
P1,CONN_01X06,Connectors:DIN_CUI_SDS-50J,,CP-2350-ND,CUI Inc,SDS-50J
U2,MCP6L02,SMD:SSOP_08_3.0mm_3.0mm_0.65mm,http://ww1.microchip.com/downloads/en/DeviceDoc/22140b.pdf,MCP6L02T-E/MSCT-ND,Microchip,MCP6L02T-E/MS
C7,0.1uF,SMD:SMD_0805,,311-1141-1-ND,Yageo,CC0805KRX7R8BB104
U3,ILD213T,SMD:SOIC_08_4.0mm_5.8mm_1.27mm,http://www.vishay.com/docs/83647/ild205t.pdf,751-1312-1-ND,Vishay,ILD213T
R3,220,SMD:SMD_0805,,P220CCT-ND,Panasonic Electronic Components,ERJ-6ENF2200V
R4,220,SMD:SMD_0805,,P220CCT-ND,Panasonic Electronic Components,ERJ-6ENF2200V
R6,10k,SMD:SMD_0805,,P10.0KCCT-ND,Panasonic Electronic Components,ERJ-6ENF1002V
R5,10k,SMD:SMD_0805,,P10.0KCCT-ND,Panasonic Electronic Components,ERJ-6ENF1002V
R8,10k,SMD:SMD_0805,,P10.0KCCT-ND,Panasonic Electronic Components,ERJ-6ENF1002V
R7,10k,SMD:SMD_0805,,P10.0KCCT-ND,Panasonic Electronic Components,ERJ-6ENF1002V
Q2,MMBT2222,Transistors:TRANS_SOT-23-3_BEC,https://www.fairchildsemi.com/datasheets/MM/MMBT2222.pdf,MMBT2222AFSCT-ND,Fairchild Semiconductor,MMBT2222
Q1,MMBT2222,Transistors:TRANS_SOT-23-3_BEC,https://www.fairchildsemi.com/datasheets/MM/MMBT2222.pdf,MMBT2222AFSCT-ND,Fairchild Semiconductor,MMBT2222
R2,330,SMD:SMD_0805,,P330CCT-ND,Panasonic Electronic Components,ERJ-6ENF3300V
D1,RED,LEDs:LED_1206,,754-1137-1-ND,Kingbright,APT3216EC
TP1,TEST_POINT,Connectors:TESTPOINT_063,http://www.keyelco.com/product-pdf.cfm?p=1322,36-5013-ND,Keystone Electronics,5013
TP2,TEST_POINT,Connectors:TESTPOINT_063,http://www.keyelco.com/product-pdf.cfm?p=1322,36-5013-ND,Keystone Electronics,5013
TP3,TEST_POINT,Connectors:TESTPOINT_063,http://www.keyelco.com/product-pdf.cfm?p=1320,36-5011-ND,Keystone Electronics,5011
C2,15uF,SMD:SMD_0805,,445-14362-1-ND,TDK Corporation,C2012X5R1A156M085AC
C5,33uF,SMD:SMD_0805,,445-8238-1-ND,TDK Corporation,C2012X5R1A336M125AC
